recall,precision
0.017877103893200463, 0.9470134645106636
0.029154290824310924, 0.9575212625038568
0.04043147775542141, 0.9655088904062574
0.051708664686531874, 0.9694914912454524
0.06298585161764234, 0.9687334478057509
0.07426303854875282, 0.9686292863355522
0.08554022547986329, 0.9693424773272323
0.09722749193574143, 0.9676027954342215
0.10809459934208424, 0.9683985371711443
0.11937178627319472, 0.9685395814395094
0.13064897320430519, 0.968271949476935
0.14192616013541565, 0.9687399347300515
0.15320334706652614, 0.9705974191683618
0.1644805339976366, 0.9710654044214783
0.17575772092874706, 0.971369919182219
0.18703490785985757, 0.9721648454200871
0.19831209479096804, 0.9727963011655792
0.2095892817220785, 0.9713026405101869
0.22086646865318896, 0.9713074593682387
0.23214365558429942, 0.970930847077414
0.24342084251540994, 0.9709084208534032
0.2546980294465204, 0.9698234364289502
0.2659752163776309, 0.9680028347888062
0.27622720449682214, 0.9674466273652013
0.2895547890517709, 0.9669206304747677
0.3158682252243621, 0.9637214956405097
0.3218485516272237, 0.9635597549946141
0.33876433202388934, 0.9617279402424649
0.35557759253936316, 0.959986238135886
0.36746989875762515, 0.9587488202574029
0.38951167321388647, 0.9562324959860171
0.4043770559867139, 0.954005164192224
0.41872983935358177, 0.9509433359223292
0.4281616684232379, 0.94914275107717
0.43855034971735174, 0.9489422742261651
0.4638385870780236, 0.9429253121460628
0.4715275781674172, 0.9401105893568481
0.4928004535147392, 0.9378205660732069
0.5112906463725665, 0.9318433948750221
0.5161237264858994, 0.9290080794108083
0.5345773051004439, 0.9255998030480865
0.5443166938136756, 0.9218716981497571
0.5571316789626648, 0.9181374770085158
0.5766104563891284, 0.9123188912515497
0.5878876433202389, 0.9075324678211603
0.5981396314394302, 0.9034707265054976
0.6165932100539746, 0.8976671533447702
0.6242822011433681, 0.8941781147745056
0.6406853821340742, 0.8886610597931021
0.6550381655009422, 0.8817994507448733
0.684666411165405, 0.8667257662134423
0.6955335185717479, 0.8626092196544741
0.7104308390022676, 0.857224025974026
0.7293650793650793, 0.847339185191498
0.7406422662961898, 0.8426578499347785
0.7519194532273002, 0.8351157810614838
0.7657596371882086, 0.8284776334776335
0.7766439909297053, 0.8236832611832612
0.790249433106576, 0.8157016594516595
0.8002267573696145, 0.8125
0.8097577528664047, 0.8068974595680142
0.8206077736258822, 0.7997512938628096
0.8322950400817604, 0.7938758085126923
0.8429571077257193, 0.7886398968304779
0.8537414965986395, 0.7805753968253968
0.8709750566893425, 0.7725865800865801
0.8936507936507937, 0.7598142135642136
0.9181405895691611, 0.7486291486291488
0.9399092970521542, 0.7358585858585859
0.9571428571428572, 0.7230970418470419
0.9754127942256715, 0.7107607008557313
0.9866899811567819, 0.7034638377210001
0.9965575197215036, 0.6970995162896572

